gene,compare,medianP,meanlogFC,cvFC,DEGtype,Gene_Name,entrezgene_id,description,biotype
ENSG00000115616,D5/D6,2.13e-07,5.148,62.17,up-regulate,SLC9A2,6549,solute carrier family 9 member A2,Protein coding
ENSG00000211950,D5/D6,2.23e-06,5.076,59.48,up-regulate,IGHV1-24,,immunoglobulin heavy variable 1-24,IG gene
ENSG00000242076,D5/D6,7.88e-08,-5.009,28.28,down-regulate,IGKV1-33,,immunoglobulin kappa variable 1-33,IG gene
ENSG00000211893,D5/D6,6.17e-09,-4.851,23.53,down-regulate,IGHG2,,immunoglobulin heavy constant gamma 2 (G2m marker),IG gene
ENSG00000211947,D5/D6,2.23e-08,4.637,29.76,up-regulate,IGHV3-21,,immunoglobulin heavy variable 3-21,IG gene
ENSG00000188883,D5/D6,1.17e-05,4.632,56.21,up-regulate,KLRG2,346689,killer cell lectin like receptor G2,Protein coding
ENSG00000213225,D5/D6,4.58e-05,-4.626,83.82,down-regulate,NOC2LP1,,NOC2 like nucleolar associated transcriptional repressor pseudogene 1,Pseudogene
ENSG00000189223,D5/D6,2.77e-08,-4.617,14.83,down-regulate,PAX8-AS1,654433,PAX8 antisense RNA 1,lncRNA
ENSG00000177494,D5/D6,3.04e-06,-4.595,42.36,down-regulate,ZBED2,79413,zinc finger BED-type containing 2,Protein coding
ENSG00000211896,D5/D6,3.52e-09,-4.575,18.58,down-regulate,IGHG1,,immunoglobulin heavy constant gamma 1 (G1m marker),IG gene
ENSG00000173110,D5/D6,2.63e-10,-4.573,21.68,down-regulate,HSPA6,3310,heat shock protein family A (Hsp70) member 6,Protein coding
ENSG00000211677,D5/D6,7.24e-11,-4.537,8.81,down-regulate,IGLC2,,immunoglobulin lambda constant 2,IG gene
ENSG00000229781,D5/D6,3.65e-06,-4.463,41.94,down-regulate,AC013444.1,,RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae) (RRN3) pseudogene,Pseudogene
ENSG00000186212,D5/D6,7.47e-06,4.402,53.56,up-regulate,SOWAHB,345079,sosondowah ankyrin repeat domain family member B,Protein coding
ENSG00000114948,D5/D6,3.06e-08,-4.327,23.58,down-regulate,ADAM23,8745,ADAM metallopeptidase domain 23,Protein coding
ENSG00000270550,D5/D6,7.55e-09,-4.317,22.65,down-regulate,IGHV3-30,,immunoglobulin heavy variable 3-30,IG gene
ENSG00000211679,D5/D6,5.63e-10,-4.301,17.46,down-regulate,IGLC3,,immunoglobulin lambda constant 3 (Kern-Oz+ marker),IG gene
ENSG00000211956,D5/D6,1.93e-06,-4.255,34.94,down-regulate,IGHV4-34,,immunoglobulin heavy variable 4-34,IG gene
ENSG00000197794,D5/D6,1.41e-05,-4.22,47.07,down-regulate,IGKV7-3,,immunoglobulin kappa variable 7-3 (pseudogene),Pseudogene
ENSG00000211942,D5/D6,8.83e-06,-4.22,42.67,down-regulate,IGHV3-13,,immunoglobulin heavy variable 3-13,IG gene
ENSG00000203727,D5/D6,3.66e-07,-4.193,36.32,down-regulate,SAMD5,389432,sterile alpha motif domain containing 5,Protein coding
ENSG00000204764,D5/D6,5.53e-05,-4.146,52.64,down-regulate,RANBP17,64901,RAN binding protein 17,Protein coding
ENSG00000278196,D5/D6,1.86e-07,-4.111,23.88,down-regulate,IGLV2-8,,immunoglobulin lambda variable 2-8,IG gene
ENSG00000111490,D5/D6,3.63e-07,4.106,32.57,up-regulate,TBC1D30,23329,TBC1 domain family member 30,Protein coding
ENSG00000134343,D5/D6,1.16e-05,-4.099,56.29,down-regulate,ANO3,63982,anoctamin 3,Protein coding
ENSG00000106952,D5/D6,2.62e-06,-4.077,51.93,down-regulate,TNFSF8,944,TNF superfamily member 8,Protein coding
ENSG00000101680,D5/D6,3.68e-05,4.069,73.5,up-regulate,LAMA1,284217,laminin subunit alpha 1,Protein coding
ENSG00000124882,D5/D6,0.000107,-4.067,28.93,down-regulate,EREG,2069,epiregulin,Protein coding
ENSG00000204389,D5/D6,2.63e-11,-4.041,5.96,down-regulate,HSPA1A,3303,heat shock protein family A (Hsp70) member 1A,Protein coding
ENSG00000211955,D5/D6,8.19e-09,-4.005,17.23,down-regulate,IGHV3-33,,immunoglobulin heavy variable 3-33,IG gene
ENSG00000125618,D5/D6,3.89e-06,-3.989,29.49,down-regulate,PAX8,7849,paired box 8,Protein coding
ENSG00000173702,D5/D6,6.31e-05,-3.98,64.45,down-regulate,MUC13,56667,"mucin 13, cell surface associated",Protein coding
ENSG00000276775,D5/D6,1.45e-05,-3.942,33.71,down-regulate,IGHV4-4,,immunoglobulin heavy variable 4-4,IG gene
ENSG00000134532,D5/D6,1.68e-05,-3.941,28.57,down-regulate,SOX5,6660,SRY-box transcription factor 5,Protein coding
ENSG00000165617,D5/D6,3.16e-06,-3.915,22.49,down-regulate,DACT1,51339,dishevelled binding antagonist of beta catenin 1,Protein coding
ENSG00000204388,D5/D6,1.85e-11,-3.887,6,down-regulate,HSPA1B,3304,heat shock protein family A (Hsp70) member 1B,Protein coding
ENSG00000179241,D5/D6,7.39e-07,3.877,17.39,up-regulate,LDLRAD3,143458,low density lipoprotein receptor class A domain containing 3,Protein coding
ENSG00000116106,D5/D6,1.73e-05,-3.835,55.41,down-regulate,EPHA4,2043,EPH receptor A4,Protein coding
ENSG00000111262,D5/D6,1.05e-06,3.801,72.7,up-regulate,KCNA1,3736,potassium voltage-gated channel subfamily A member 1,Protein coding
ENSG00000113302,D5/D6,3.5e-05,-3.791,36.12,down-regulate,IL12B,3593,interleukin 12B,Protein coding
ENSG00000135116,D5/D6,1.52e-07,3.765,21.24,up-regulate,HRK,8739,"harakiri, BCL2 interacting protein",Protein coding
ENSG00000125384,D5/D6,0.000414,-3.679,56.95,down-regulate,PTGER2,5732,prostaglandin E receptor 2,Protein coding
ENSG00000180539,D5/D6,2.21e-07,3.667,21.81,up-regulate,C9orf139,,chromosome 9 open reading frame 139,lncRNA
ENSG00000254709,D5/D6,1.29e-09,-3.667,32.36,down-regulate,IGLL5,100423062,immunoglobulin lambda like polypeptide 5,Protein coding
ENSG00000240563,D5/D6,2.09e-05,-3.663,49.23,down-regulate,L1TD1,54596,LINE1 type transposase domain containing 1,Protein coding
ENSG00000198142,D5/D6,7.18e-09,3.662,16.83,up-regulate,SOWAHC,65124,sosondowah ankyrin repeat domain family member C,Protein coding
ENSG00000211892,D5/D6,3.17e-08,-3.639,16.21,down-regulate,IGHG4,,immunoglobulin heavy constant gamma 4 (G4m marker),IG gene
ENSG00000188641,D5/D6,1.43e-08,-3.632,11.71,down-regulate,DPYD,1806,dihydropyrimidine dehydrogenase,Protein coding
ENSG00000172020,D5/D6,4.66e-05,-3.595,56.43,down-regulate,GAP43,2596,growth associated protein 43,Protein coding
ENSG00000237988,D5/D6,0.00281,-3.589,58.72,down-regulate,OR2I1P,,olfactory receptor family 2 subfamily I member 1 pseudogene,Protein coding
ENSG00000244575,D5/D6,0.000405,3.581,40,up-regulate,IGKV1-27,,immunoglobulin kappa variable 1-27,IG gene
ENSG00000134460,D5/D6,4.8e-09,-3.578,14.44,down-regulate,IL2RA,3559,interleukin 2 receptor subunit alpha,Protein coding
ENSG00000107281,D5/D6,1.99e-07,3.557,17.93,up-regulate,NPDC1,56654,"neural proliferation, differentiation and control 1",Protein coding
ENSG00000124225,D5/D6,1.01e-06,-3.547,36.9,down-regulate,PMEPA1,56937,"prostate transmembrane protein, androgen induced 1",Protein coding
ENSG00000144824,D5/D6,6.23e-05,-3.547,45.48,down-regulate,PHLDB2,90102,pleckstrin homology like domain family B member 2,Protein coding
ENSG00000143184,D5/D6,0.000239,-3.543,58.52,down-regulate,XCL1,6375,X-C motif chemokine ligand 1,Protein coding
ENSG00000137801,D5/D6,5.27e-07,-3.538,22.64,down-regulate,THBS1,7057,thrombospondin 1,Protein coding
ENSG00000234663,D5/D6,1.64e-06,-3.538,26.71,down-regulate,LINC01934,,long intergenic non-protein coding RNA 1934,lncRNA
ENSG00000244116,D5/D6,0.000352,-3.515,33.12,down-regulate,IGKV2-28,,immunoglobulin kappa variable 2-28,IG gene
ENSG00000106789,D5/D6,9.87e-08,3.502,32.99,up-regulate,CORO2A,7464,coronin 2A,Protein coding
ENSG00000276476,D5/D6,2.55e-06,-3.496,29.41,down-regulate,AL136962.1,100506622,long intergenic non-protein coding RNA 540,lncRNA
ENSG00000105967,D5/D6,2.24e-05,3.488,33.04,up-regulate,TFEC,22797,transcription factor EC,Protein coding
ENSG00000180828,D5/D6,3e-07,-3.457,27.8,down-regulate,BHLHE22,27319,basic helix-loop-helix family member e22,Protein coding
ENSG00000132972,D5/D6,0.000174,3.441,48.47,up-regulate,RNF17,56163,ring finger protein 17,Protein coding
ENSG00000182463,D5/D6,1.01e-05,-3.441,45.31,down-regulate,TSHZ2,128553,teashirt zinc finger homeobox 2,Protein coding
ENSG00000167912,D5/D6,2.26e-06,-3.421,24.73,down-regulate,AC090152.1,100505501,novel transcript,lncRNA
ENSG00000225914,D5/D6,5.6e-06,-3.408,35.48,down-regulate,AL662796.1,414764,TSBP1 and BTNL2 antisense RNA 1,lncRNA
ENSG00000171847,D5/D6,0.00078,-3.4,43.12,down-regulate,FAM90A1,55138,family with sequence similarity 90 member A1,Protein coding
ENSG00000116667,D5/D6,0.00014,-3.384,46.31,down-regulate,C1orf21,81563,chromosome 1 open reading frame 21,Protein coding
ENSG00000079691,D5/D6,1.35e-06,-3.38,20.9,down-regulate,CARMIL1,55604,capping protein regulator and myosin 1 linker 1,Protein coding
ENSG00000137673,D5/D6,6.01e-06,-3.373,40.19,down-regulate,MMP7,4316,matrix metallopeptidase 7,Protein coding
ENSG00000279368,D5/D6,0.00223,-3.361,45.34,down-regulate,AL031123.3,,TEC,TEC
ENSG00000166025,D5/D6,9.74e-09,-3.358,14.09,down-regulate,AMOTL1,154810,angiomotin like 1,Protein coding
ENSG00000130508,D5/D6,2.44e-06,-3.348,41.98,down-regulate,PXDN,7837,peroxidasin,Protein coding
ENSG00000075275,D5/D6,3.81e-08,3.346,20.2,up-regulate,CELSR1,9620,cadherin EGF LAG seven-pass G-type receptor 1,Protein coding
ENSG00000254319,D5/D6,2.45e-06,-3.333,23.35,down-regulate,AC246817.2,101927815,novel transcript,lncRNA
ENSG00000232759,D5/D6,0.000273,-3.324,43.66,down-regulate,AC002480.2,100506178,"novel transcript, antisense to STEAP1B",lncRNA
ENSG00000258927,D5/D6,0.000192,-3.323,35.15,down-regulate,AL133467.2,,novel transcript,lncRNA
ENSG00000198846,D5/D6,2.65e-09,-3.318,7,down-regulate,TOX,9760,thymocyte selection associated high mobility group box,Protein coding
ENSG00000169429,D5/D6,4.99e-05,-3.315,29.48,down-regulate,CXCL8,3576,C-X-C motif chemokine ligand 8,Protein coding
ENSG00000211653,D5/D6,3.94e-08,-3.309,50.36,down-regulate,IGLV1-40,,immunoglobulin lambda variable 1-40,IG gene
ENSG00000178789,D5/D6,0.00175,-3.301,70.81,down-regulate,CD300LB,124599,CD300 molecule like family member b,Protein coding
ENSG00000176595,D5/D6,1.33e-06,3.298,29.77,up-regulate,KBTBD11,9920,kelch repeat and BTB domain containing 11,Protein coding
ENSG00000224431,D5/D6,0.00132,-3.296,32.56,down-regulate,AC063976.2,,cytoplasmic linker associated protein 2 (CLASP2) pseudogene,Pseudogene
ENSG00000134215,D5/D6,2.91e-07,3.265,33.56,up-regulate,VAV3,10451,vav guanine nucleotide exchange factor 3,Protein coding
ENSG00000136244,D5/D6,1.02e-05,-3.258,26.5,down-regulate,IL6,3569,interleukin 6,Protein coding
ENSG00000101489,D5/D6,0.000214,3.257,52.22,up-regulate,CELF4,56853,CUGBP Elav-like family member 4,Protein coding
ENSG00000149948,D5/D6,0.000315,3.257,86.54,up-regulate,HMGA2,8091,high mobility group AT-hook 2,Protein coding
ENSG00000121742,D5/D6,0.000173,-3.236,42.6,down-regulate,GJB6,10804,gap junction protein beta 6,Protein coding
ENSG00000197705,D5/D6,0.000605,-3.229,49.39,down-regulate,KLHL14,57565,kelch like family member 14,Protein coding
ENSG00000127329,D5/D6,5.38e-05,-3.22,47.85,down-regulate,PTPRB,5787,protein tyrosine phosphatase receptor type B,Protein coding
ENSG00000145808,D5/D6,0.00123,-3.219,62.6,down-regulate,ADAMTS19,171019,ADAM metallopeptidase with thrombospondin type 1 motif 19,Protein coding
ENSG00000237989,D5/D6,1.35e-06,-3.219,26.66,down-regulate,LINC01679,101928399,long intergenic non-protein coding RNA 1679,lncRNA
ENSG00000120594,D5/D6,0.000486,-3.217,52.58,down-regulate,PLXDC2,84898,plexin domain containing 2,Protein coding
ENSG00000261786,D5/D6,2.26e-08,3.217,12.05,up-regulate,AC006058.1,,novel transcript,lncRNA
ENSG00000170128,D5/D6,4.87e-06,3.211,35.63,up-regulate,GPR25,2848,G protein-coupled receptor 25,Protein coding
ENSG00000211964,D5/D6,4.7e-05,3.204,56.38,up-regulate,IGHV3-48,,immunoglobulin heavy variable 3-48,IG gene
ENSG00000214929,D5/D6,3.98e-05,-3.203,70.69,down-regulate,SPATA31D1,389763,SPATA31 subfamily D member 1,Protein coding
ENSG00000182240,D5/D6,7.35e-05,3.202,29.27,up-regulate,BACE2,25825,beta-secretase 2,Protein coding
ENSG00000169435,D5/D6,3.75e-08,-3.196,9.25,down-regulate,RASSF6,166824,Ras association domain family member 6,Protein coding
ENSG00000103569,D5/D6,3.16e-07,-3.189,23.69,down-regulate,AQP9,366,aquaporin 9,Protein coding
ENSG00000137491,D5/D6,0.000111,-3.189,65.96,down-regulate,SLCO2B1,11309,solute carrier organic anion transporter family member 2B1,Protein coding
ENSG00000108381,D5/D6,5.25e-06,-3.185,25.27,down-regulate,ASPA,443,aspartoacylase,Protein coding
ENSG00000053747,D5/D6,0.000242,-3.18,91.38,down-regulate,LAMA3,3909,laminin subunit alpha 3,Protein coding
ENSG00000153157,D5/D6,2.79e-06,-3.18,28.46,down-regulate,SYCP2L,221711,synaptonemal complex protein 2 like,Protein coding
ENSG00000166211,D5/D6,0.000371,-3.178,56.37,down-regulate,SPIC,121599,Spi-C transcription factor,Protein coding
ENSG00000266604,D5/D6,0.000203,-3.173,30.37,down-regulate,LINC01887,,long intergenic non-protein coding RNA 1887,lncRNA
ENSG00000137941,D5/D6,0.000127,-3.17,74.35,down-regulate,TTLL7,79739,tubulin tyrosine ligase like 7,Protein coding
ENSG00000140297,D5/D6,6.61e-05,-3.169,57.28,down-regulate,GCNT3,9245,"glucosaminyl (N-acetyl) transferase 3, mucin type",Protein coding
ENSG00000135373,D5/D6,0.00141,-3.164,67.08,down-regulate,EHF,26298,ETS homologous factor,Protein coding
ENSG00000285454,D5/D6,0.00122,-3.163,69.47,down-regulate,AC111006.1,,novel transcript,lncRNA
ENSG00000203414,D5/D6,0.000344,3.162,30.33,up-regulate,BTBD7P1,,BTB domain containing 7 pseudogene 1,Pseudogene
ENSG00000248632,D5/D6,2.65e-07,-3.153,24.45,down-regulate,AC106872.5,,,
ENSG00000231475,D5/D6,4.16e-08,-3.146,35.69,down-regulate,IGHV4-31,,immunoglobulin heavy variable 4-31,IG gene
ENSG00000174607,D5/D6,3.69e-07,3.138,15.13,up-regulate,UGT8,7368,UDP glycosyltransferase 8,Protein coding
ENSG00000073861,D5/D6,4.91e-07,-3.126,16.24,down-regulate,TBX21,30009,T-box transcription factor 21,Protein coding
ENSG00000198865,D5/D6,4.86e-08,-3.126,14.37,down-regulate,CCDC152,100129792,coiled-coil domain containing 152,Protein coding
ENSG00000114757,D5/D6,1.12e-08,-3.125,25.41,down-regulate,PEX5L,51555,peroxisomal biogenesis factor 5 like,Protein coding
ENSG00000142494,D5/D6,0.000131,-3.106,27.33,down-regulate,SLC47A1,55244,solute carrier family 47 member 1,Protein coding
ENSG00000123689,D5/D6,7.63e-09,-3.087,9.22,down-regulate,G0S2,50486,G0/G1 switch 2,Protein coding
ENSG00000147862,D5/D6,0.000171,-3.087,41,down-regulate,NFIB,4781,nuclear factor I B,Protein coding
ENSG00000280435,D5/D6,1.12e-06,3.086,19.31,up-regulate,AC006058.4,,TEC,TEC
ENSG00000101443,D5/D6,0.00125,-3.082,49.85,down-regulate,WFDC2,10406,WAP four-disulfide core domain 2,Protein coding
ENSG00000165507,D5/D6,3.61e-06,-3.077,15.94,down-regulate,DEPP1,11067,DEPP1 autophagy regulator,Protein coding
ENSG00000211645,D5/D6,2.92e-06,-3.054,57.34,down-regulate,IGLV1-50,,immunoglobulin lambda variable 1-50 (non-functional),IG gene
ENSG00000253853,D5/D6,1.06e-05,-3.053,20.46,down-regulate,AC246817.1,,novel transcript,lncRNA
ENSG00000110002,D5/D6,4.8e-06,-3.042,24.08,down-regulate,VWA5A,4013,von Willebrand factor A domain containing 5A,Protein coding
ENSG00000147573,D5/D6,0.00544,-3.037,48.79,down-regulate,TRIM55,84675,tripartite motif containing 55,Protein coding
ENSG00000196781,D5/D6,0.000103,-3.036,34.5,down-regulate,TLE1,7088,"TLE family member 1, transcriptional corepressor",Protein coding
ENSG00000283554,D5/D6,2.47e-07,-3.034,18.23,down-regulate,LINC02341,105370177,long intergenic non-protein coding RNA 2341,lncRNA
ENSG00000183117,D5/D6,2.41e-05,-3.033,43.65,down-regulate,CSMD1,64478,CUB and Sushi multiple domains 1,Protein coding
ENSG00000148926,D5/D6,0.00049,-3.026,40.36,down-regulate,ADM,133,adrenomedullin,Protein coding
ENSG00000244437,D5/D6,2.98e-07,-3.024,13.86,down-regulate,IGKV3-15,,immunoglobulin kappa variable 3-15,IG gene
ENSG00000095739,D5/D6,2.74e-06,-3.011,24.59,down-regulate,BAMBI,25805,BMP and activin membrane bound inhibitor,Protein coding
ENSG00000170955,D5/D6,6.65e-05,-3.008,39.38,down-regulate,CAVIN3,112464,caveolae associated protein 3,Protein coding
ENSG00000149418,D5/D6,1.82e-07,3.007,19.91,up-regulate,ST14,6768,suppression of tumorigenicity 14,Protein coding
ENSG00000173212,D5/D6,1.13e-05,-2.999,24.21,down-regulate,MAB21L3,126868,mab-21 like 3,Protein coding
ENSG00000162594,D5/D6,4.44e-06,-2.997,26.62,down-regulate,IL23R,149233,interleukin 23 receptor,Protein coding
ENSG00000179603,D5/D6,0.0012,-2.993,67.71,down-regulate,GRM8,2918,glutamate metabotropic receptor 8,Protein coding
ENSG00000124721,D5/D6,1.77e-07,-2.988,23.37,down-regulate,DNAH8,1769,dynein axonemal heavy chain 8,Protein coding
ENSG00000111732,D5/D6,1.22e-09,-2.971,8.66,down-regulate,AICDA,57379,activation induced cytidine deaminase,Protein coding
ENSG00000254102,D5/D6,0.000243,-2.971,32.39,down-regulate,AC090136.3,401463,novel transcript,lncRNA
ENSG00000260896,D5/D6,2.72e-08,2.971,34.34,up-regulate,LINC02170,100996425,androgen receptor regulated long noncoding RNA 1,lncRNA
ENSG00000062524,D5/D6,0.000132,-2.97,51.72,down-regulate,LTK,4058,leukocyte receptor tyrosine kinase,Protein coding
ENSG00000058866,D5/D6,1.86e-07,-2.95,14.47,down-regulate,DGKG,1608,diacylglycerol kinase gamma,Protein coding
ENSG00000113763,D5/D6,0.000364,-2.949,56.19,down-regulate,UNC5A,90249,unc-5 netrin receptor A,Protein coding
ENSG00000196917,D5/D6,1.49e-06,2.949,25.6,up-regulate,HCAR1,27198,hydroxycarboxylic acid receptor 1,Protein coding
ENSG00000250831,D5/D6,0.00014,-2.948,31.67,down-regulate,AC074131.1,,novel transcript,lncRNA
ENSG00000243710,D5/D6,5.9e-08,-2.944,12.38,down-regulate,CFAP57,149465,cilia and flagella associated protein 57,Protein coding
ENSG00000226777,D5/D6,9.16e-10,-2.943,7.51,down-regulate,FAM30A,9834,family with sequence similarity 30 member A,lncRNA
ENSG00000211899,D5/D6,1.39e-10,-2.939,7.01,down-regulate,IGHM,,immunoglobulin heavy constant mu,IG gene
ENSG00000213886,D5/D6,7.28e-06,-2.935,26.04,down-regulate,UBD,10537,ubiquitin D,Protein coding
ENSG00000232855,D5/D6,9.71e-06,-2.926,38.83,down-regulate,AF165147.1,,novel transcript,lncRNA
ENSG00000277526,D5/D6,0.000351,-2.924,42,down-regulate,AC245123.1,101927815,novel transcript,lncRNA
ENSG00000118804,D5/D6,0.0228,-2.921,32.89,down-regulate,STBD1,8987,starch binding domain 1,Protein coding
ENSG00000144724,D5/D6,7.13e-06,-2.92,30.2,down-regulate,PTPRG,5793,protein tyrosine phosphatase receptor type G,Protein coding
ENSG00000259439,D5/D6,0.000216,2.914,51.91,up-regulate,LINC01833,107985879,long intergenic non-protein coding RNA 1833,lncRNA
ENSG00000250227,D5/D6,5.33e-05,-2.909,11.87,down-regulate,TRIM60P14,,tripartite motif containing 60 pseudogene 14,Pseudogene
ENSG00000183439,D5/D6,1.41e-06,-2.908,37.75,down-regulate,TRIM61,391712,tripartite motif containing 61,Protein coding
ENSG00000132170,D5/D6,8.52e-06,-2.907,19.75,down-regulate,PPARG,5468,peroxisome proliferator activated receptor gamma,Protein coding
ENSG00000258215,D5/D6,0.00107,-2.902,37.1,down-regulate,AC078886.1,,tripartite motif containing 61 (TRIM61) pseudogene,Pseudogene
ENSG00000177606,D5/D6,4.91e-09,-2.898,8.26,down-regulate,JUN,3725,"Jun proto-oncogene, AP-1 transcription factor subunit",Protein coding
ENSG00000082397,D5/D6,0.000182,-2.897,76.8,down-regulate,EPB41L3,23136,erythrocyte membrane protein band 4.1 like 3,Protein coding
ENSG00000163435,D5/D6,2.39e-05,-2.891,36.41,down-regulate,ELF3,1999,E74 like ETS transcription factor 3,Protein coding
ENSG00000258168,D5/D6,0.00154,-2.879,39.34,down-regulate,AC025569.1,,"novel transcript, antisense to PTPRB",lncRNA
ENSG00000125378,D5/D6,0.000158,2.873,40.82,up-regulate,BMP4,652,bone morphogenetic protein 4,Protein coding
ENSG00000183918,D5/D6,0.00555,-2.872,34.19,down-regulate,SH2D1A,4068,SH2 domain containing 1A,Protein coding
ENSG00000223914,D5/D6,0.000459,-2.858,29.26,down-regulate,LINC02471,,long intergenic non-protein coding RNA 2471,lncRNA
ENSG00000230490,D5/D6,0.000242,-2.858,29.94,down-regulate,AL139383.1,,novel transcript,lncRNA
ENSG00000180871,D5/D6,0.00442,-2.852,48.35,down-regulate,CXCR2,3579,C-X-C motif chemokine receptor 2,Protein coding
ENSG00000250899,D5/D6,1.03e-05,2.844,75.87,up-regulate,AC125807.2,,novel transcript,lncRNA
ENSG00000152582,D5/D6,3.38e-05,-2.825,42.14,down-regulate,SPEF2,79925,sperm flagellar 2,Protein coding
ENSG00000135077,D5/D6,2.18e-07,2.824,13.49,up-regulate,HAVCR2,84868,hepatitis A virus cellular receptor 2,Protein coding
ENSG00000187068,D5/D6,0.00183,-2.824,78.71,down-regulate,C3orf70,285382,chromosome 3 open reading frame 70,Protein coding
ENSG00000225342,D5/D6,1.39e-05,-2.82,29.57,down-regulate,AC079630.1,,LRRK2 divergent transcript,lncRNA
ENSG00000267270,D5/D6,5.62e-05,-2.819,41.02,down-regulate,PARD6G-AS1,100130522,PARD6G antisense RNA 1,lncRNA
ENSG00000019991,D5/D6,0.00129,-2.818,60.33,down-regulate,HGF,3082,hepatocyte growth factor,Protein coding
ENSG00000259084,D5/D6,0.000219,-2.808,43.22,down-regulate,AL133467.3,,novel transcript,lncRNA
ENSG00000069431,D5/D6,0.00388,-2.805,85.85,down-regulate,ABCC9,10060,ATP binding cassette subfamily C member 9,Protein coding
ENSG00000143194,D5/D6,0.00226,-2.804,58.86,down-regulate,MAEL,84944,maelstrom spermatogenic transposon silencer,Protein coding
ENSG00000151491,D5/D6,4.95e-07,-2.802,18.75,down-regulate,EPS8,2059,epidermal growth factor receptor pathway substrate 8,Protein coding
